incident_i,engine_area_c,exposure_c,incident_type_c,property_use_c,detector_c,structure_stat_c,cinjury_c,cfatal_c,finjury_c,ffatal_c,call_month_c,call_day_c,call_hour_c,dispatch_n,arrival_n,clear_n
4262,9,0,111,1,0,5,0,0,0,0,4,4,7,6,313,1424
4263,1,0,600,6,0,0,0,0,0,0,4,4,7,21,382,474
4264,46,0,444,3,0,0,0,0,0,0,4,4,7,58,424,1839
4265,30,0,412,1,0,0,0,0,0,0,4,4,8,172,625,1367
4266,51,0,740,1,0,0,0,0,0,0,4,4,10,59,464,529
4267,32,0,118,1,3,0,0,0,0,0,4,4,11,99,470,1535
4268,59,0,700,6,0,0,0,0,0,0,4,4,11,72,388,418
4269,1,0,745,39,0,0,0,0,0,0,4,4,11,116,273,375
4270,42,0,710,1,0,0,0,0,0,0,4,4,12,112,561,732
4271,40,0,111,1,0,1,0,0,0,0,4,4,13,120,309,4094
4272,60,0,551,7,0,0,0,0,0,0,4,4,13,12,559,1443
4273,52,0,111,5,0,2,0,0,0,0,4,4,14,64,246,5643
4274,54,0,152,47,0,0,0,0,0,0,4,4,14,249,607,1264
4275,35,0,552,6,0,0,0,0,0,0,4,4,14,23,277,786
4276,52,0,745,1,0,0,0,0,0,0,4,4,15,247,730,810
4277,34,0,600,1,0,0,0,0,0,0,4,4,15,112,378,1072
4278,57,0,154,55,0,0,0,0,0,0,4,4,16,113,331,1199
4279,42,0,445,1,0,0,0,0,0,0,4,4,17,94,424,996
4280,50,0,130,3,0,0,0,0,0,0,4,4,17,110,322,1300
4281,52,0,118,31,3,0,0,0,0,0,4,4,17,126,303,732
4282,32,0,400,5,0,0,0,0,0,0,4,4,18,95,342,1691
4283,42,0,745,1,0,0,0,0,0,0,4,4,18,114,331,344
4284,53,0,444,6,0,0,0,0,0,0,4,4,18,107,338,1327
4285,33,0,118,32,3,0,0,0,0,0,4,4,19,58,282,841
4286,42,0,444,6,0,0,0,0,0,0,4,4,19,204,681,5642
4287,30,0,111,17,0,1,0,0,0,0,4,4,19,63,262,1528
4288,50,0,411,6,0,0,0,0,0,0,4,4,21,14,196,913
4289,39,0,150,6,0,0,0,0,0,0,4,4,21,101,495,1829
4290,50,0,600,6,0,0,0,0,0,0,4,4,21,84,367,654
4291,35,0,600,1,0,0,0,0,0,0,4,4,21,167,588,596
4292,53,0,600,6,0,0,0,0,0,0,4,4,21,89,385,496
4293,34,0,111,1,0,2,0,0,0,0,4,4,21,97,309,4417
4294,32,0,745,74,0,0,0,0,0,0,4,4,22,105,656,696
4295,32,0,154,32,0,0,0,0,0,0,4,4,22,72,439,449
4296,33,0,700,17,0,0,0,0,0,0,4,4,22,156,511,575
4297,34,0,600,17,0,0,0,0,0,0,4,4,23,69,575,833
4298,51,0,745,1,0,0,0,0,0,0,4,4,23,342,730,770
4299,56,0,745,1,0,0,0,0,0,0,4,4,23,148,460,3905
4300,40,0,111,1,0,4,0,0,0,0,4,5,2,114,279,11595
4301,60,0,111,1,3,1,0,0,0,0,4,5,2,87,451,4234
4302,34,0,130,6,0,0,0,0,0,0,4,5,3,115,432,1155
4303,39,0,600,0,0,0,0,0,0,0,4,5,3,138,436,842
4304,52,0,711,32,0,0,0,0,0,0,4,5,4,127,621,756
4305,55,0,700,1,0,0,0,0,0,0,4,5,4,119,482,625
4306,34,0,111,1,0,2,0,0,0,0,4,5,4,120,391,7696
4307,17,0,745,26,0,0,0,0,0,0,4,5,6,159,620,624
4308,33,0,0,9,0,0,0,0,0,0,4,5,6,273,688,5025
4309,42,0,600,1,0,0,0,0,0,0,4,5,6,82,507,663
4310,42,0,111,1,3,1,0,0,0,0,4,5,7,315,363,20000
4311,39,0,111,1,0,1,1,0,0,0,4,5,7,140,430,4075
4312,50,0,600,1,0,0,0,0,0,0,4,5,8,79,404,410
4313,34,0,111,1,0,4,0,0,0,0,4,5,8,150,368,4852
4314,59,0,651,1,0,0,0,0,0,0,4,5,9,56,394,812
4315,39,0,111,1,0,2,0,0,0,0,4,5,10,118,612,1889
4316,57,0,745,1,0,0,0,0,0,0,4,5,11,65,654,656
4317,52,0,740,28,0,0,0,0,0,0,4,5,11,7,311,378
4318,51,0,745,1,0,0,0,0,0,0,4,5,11,143,445,487
4319,32,0,745,0,0,0,0,0,0,0,4,5,12,69,642,1470
4320,32,0,745,0,0,0,0,0,0,0,4,5,12,94,398,515
4321,51,0,745,1,0,0,0,0,0,0,4,5,12,139,501,572
4322,30,0,111,1,1,5,0,0,0,0,4,5,13,191,434,4092
4323,34,0,700,1,0,0,0,0,0,0,4,5,13,89,328,355
4324,51,0,745,1,0,0,0,0,0,0,4,5,13,126,766,847
4325,27,0,600,0,0,0,0,0,0,0,4,5,14,253,548,1005
4326,44,0,111,1,0,2,0,0,0,0,4,5,14,105,369,2426
4327,60,0,745,1,2,0,0,0,0,0,4,5,15,91,179,493
4328,32,0,745,9,0,0,0,0,0,0,4,5,15,105,190,198
4329,17,0,745,0,0,0,0,0,0,0,4,5,15,150,538,983
4330,30,0,740,1,0,0,0,0,0,0,4,5,16,63,540,621
4331,51,0,745,1,0,0,0,0,0,0,4,5,16,88,523,525
4332,56,0,111,1,0,3,0,0,0,0,4,5,17,268,501,3196
4333,54,0,111,27,0,1,0,0,0,0,4,5,17,85,276,1153
4334,55,0,113,1,3,0,0,0,0,0,4,5,17,77,336,1038
4335,44,0,745,1,0,0,0,0,0,0,4,5,18,98,372,417
4336,60,0,111,1,0,1,0,0,0,0,4,5,18,84,320,1016
4337,40,0,622,1,0,0,0,0,0,0,4,5,18,146,299,402
4338,55,0,411,3,0,0,0,0,0,0,4,5,18,129,402,473
4339,53,0,444,6,0,0,0,0,0,0,4,5,18,39,365,800
4340,55,0,130,6,0,0,0,0,0,0,4,5,18,90,574,1033
4341,42,0,700,6,0,0,0,0,0,0,4,5,18,102,367,536
4342,48,0,600,22,0,0,0,0,0,0,4,5,19,224,459,922
4343,55,0,741,1,0,0,0,0,0,0,4,5,19,52,424,481
4344,58,0,130,6,0,0,0,0,0,0,4,5,20,53,312,1120
4345,33,0,118,1,1,0,0,0,0,0,4,5,20,85,262,755
4346,55,0,130,9,0,0,0,0,0,0,4,5,20,193,523,555
4347,39,0,700,7,0,0,0,0,0,0,4,5,21,103,323,574
4348,60,0,150,6,0,0,0,0,0,0,4,5,21,137,344,1265
4349,40,0,600,0,2,0,0,0,0,0,4,5,22,110,275,542
4350,30,0,445,1,0,0,0,0,0,0,4,5,23,344,831,1350
4351,30,0,111,1,3,5,0,0,0,0,4,6,0,100,348,4297
4352,39,0,111,1,0,2,0,0,0,0,4,6,0,103,364,3157
4353,54,0,111,1,0,5,0,0,0,0,4,6,0,77,389,4409
4354,56,0,111,1,0,2,0,0,0,0,4,6,1,181,527,8405
4355,39,0,111,1,0,2,0,0,0,0,4,6,1,150,383,2950
4356,57,0,411,1,0,0,0,0,0,0,4,6,2,35,413,1963
4357,39,1,111,1,0,1,0,0,0,0,4,6,3,46,406,1426
4358,39,0,130,6,0,0,0,0,0,0,4,6,3,60,463,1477
4359,58,0,130,35,0,0,0,0,0,0,4,6,3,54,266,944
4360,57,0,600,6,0,0,0,0,0,0,4,6,3,118,437,517
4361,40,0,111,1,0,1,0,0,0,0,4,6,3,107,501,1570
4362,56,0,111,1,0,2,0,0,0,0,4,6,5,84,497,2240
4363,32,0,651,0,0,0,0,0,0,0,4,6,5,244,593,1386
4364,32,0,111,1,0,1,0,0,0,0,4,6,6,115,501,2698
4365,46,0,130,44,0,0,0,0,0,0,4,6,7,116,533,1190
4366,55,0,151,9,0,0,0,0,0,0,4,6,7,109,383,708
4367,52,0,745,1,0,0,0,0,0,0,4,6,8,112,470,529
4368,32,0,745,1,0,0,0,0,0,0,4,6,8,161,550,969
4369,29,0,700,98,0,0,0,0,0,0,4,6,8,13,198,561
4370,17,0,700,3,0,0,0,0,0,0,4,6,9,128,549,732
4371,60,0,111,1,0,9,0,0,0,0,4,6,9,36,287,663
4372,17,0,700,0,0,0,0,0,0,0,4,6,9,64,512,629
4373,32,0,700,1,0,0,0,0,0,0,4,6,10,139,354,452
4374,32,0,745,1,0,0,0,0,0,0,4,6,10,148,564,629
4375,34,0,700,6,0,0,0,0,0,0,4,6,11,105,352,412
4376,56,0,745,15,0,0,0,0,0,0,4,6,11,96,440,573
4377,27,0,600,0,0,0,0,0,0,0,4,6,11,75,642,743
4378,52,0,745,1,0,0,0,0,0,0,4,6,11,137,479,741
4379,35,0,130,25,0,0,0,0,0,0,4,6,12,106,192,2740
4380,59,0,740,1,0,0,0,0,0,0,4,6,12,43,288,432
4381,30,0,442,1,0,0,0,0,0,0,4,6,12,101,427,1675
4382,54,0,151,35,0,0,0,0,0,0,4,6,12,83,361,1782
4383,51,0,444,1,0,0,0,0,0,0,4,6,12,175,626,894
4384,57,0,740,36,0,0,0,0,0,0,4,6,12,13,244,444
4385,52,0,445,15,0,0,0,0,0,0,4,6,12,115,361,2646
4386,52,0,411,6,0,0,0,0,0,0,4,6,13,58,272,287
4387,39,0,400,1,0,0,0,0,0,0,4,6,14,251,532,1598
4388,58,0,151,14,0,0,0,0,0,0,4,6,14,283,537,781
4389,60,0,131,35,0,0,0,0,0,0,4,6,15,69,369,854
4390,58,0,151,18,0,0,0,0,0,0,4,6,15,132,316,716
4391,51,0,745,0,0,0,0,0,0,0,4,6,15,106,680,757
4392,30,0,700,1,0,0,0,0,0,0,4,6,15,56,420,769
4393,51,0,111,1,0,1,0,0,0,0,4,6,16,75,360,4884
4394,42,0,745,1,0,0,0,0,0,0,4,6,16,62,450,499
4395,48,0,700,0,0,0,0,0,0,0,4,6,16,128,543,546
4396,55,0,111,1,0,2,0,0,0,0,4,6,17,97,387,1396
4397,30,0,600,1,0,0,0,0,0,0,4,6,17,147,775,1449
4398,50,0,745,1,0,0,0,0,0,0,4,6,17,80,407,437
4399,58,0,600,1,0,0,0,0,0,0,4,6,18,86,397,679
4400,44,0,442,1,0,0,0,0,0,0,4,6,18,134,345,510
4401,55,0,600,1,0,0,0,0,0,0,4,6,19,71,350,409
4402,42,0,111,1,0,1,0,0,0,0,4,6,19,68,397,1415
4403,51,0,111,1,0,1,0,0,0,0,4,6,19,99,479,2870
4404,42,0,745,1,0,0,0,0,0,0,4,6,19,110,543,601
4405,57,0,412,1,0,0,0,0,0,0,4,6,20,83,265,830
4406,32,0,111,1,0,5,0,0,0,0,4,6,20,74,541,2082
4407,29,0,151,6,0,0,0,0,0,0,4,6,20,224,534,1035
4408,17,0,700,0,0,0,0,0,0,0,4,6,20,163,563,1200
4409,34,0,111,39,0,2,0,0,0,0,4,6,21,79,329,5237
4410,34,0,111,39,0,4,0,0,0,0,4,6,21,569,944,7564
4411,59,0,151,6,0,0,0,0,0,0,4,6,21,53,351,939
4412,60,0,745,1,0,0,0,0,0,0,4,6,21,98,408,613
4413,60,0,111,1,0,1,0,0,0,0,4,6,22,100,375,1535
4414,60,0,111,1,0,1,0,0,0,0,4,6,22,72,273,2394
4415,30,0,745,1,0,0,0,0,0,0,4,6,23,95,599,682
4416,52,0,131,3,0,0,0,0,0,0,4,7,0,132,371,976
4417,55,0,700,7,0,0,0,0,0,0,4,7,0,129,400,544
4418,55,0,600,7,0,0,0,0,0,0,4,7,0,58,441,847
4419,53,0,240,9,0,0,0,0,0,0,4,7,1,39,313,550
4420,51,0,411,7,0,0,0,0,0,0,4,7,2,25,565,1641
4421,33,0,700,1,0,0,0,0,0,0,4,7,2,105,357,548
4422,60,0,111,27,0,2,0,0,0,0,4,7,3,60,306,3515
4423,27,0,111,1,0,4,0,0,0,0,4,7,4,89,428,5321
4424,27,1,111,1,0,4,0,0,0,0,4,7,4,0,446,4853
4425,59,0,424,1,0,0,0,0,0,0,4,7,4,172,834,3114
4426,39,0,111,52,0,4,0,0,0,0,4,7,5,154,537,7009
4427,34,0,111,18,0,2,0,0,0,0,4,7,5,163,898,4164
4428,52,0,745,57,0,0,0,0,0,0,4,7,8,122,515,612
4429,55,0,700,7,0,0,0,0,0,0,4,7,10,128,593,702
4430,41,0,151,13,0,0,0,0,0,0,4,7,11,123,335,941
4431,53,0,740,1,0,0,0,0,0,0,4,7,12,130,416,597
4432,40,0,745,1,0,0,0,0,0,0,4,7,12,184,634,734
4433,50,0,600,88,0,0,0,0,0,0,4,7,13,232,719,1553
4434,55,0,150,1,0,0,0,0,0,0,4,7,13,172,619,690
4435,33,0,745,9,0,0,0,0,0,0,4,7,13,190,534,671
4436,52,0,700,3,0,0,0,0,0,0,4,7,14,245,498,553
4437,54,0,600,1,0,0,0,0,0,0,4,7,14,197,650,1185
4438,33,0,551,31,0,0,0,0,0,0,4,7,15,59,780,2469
4439,50,0,411,66,0,0,0,0,0,0,4,7,15,9,292,2436
4440,30,0,745,74,0,0,0,0,0,0,4,7,15,77,341,392
4441,56,0,600,103,0,0,0,0,0,0,4,7,15,69,472,732
4442,60,0,600,1,0,0,0,0,0,0,4,7,16,137,506,592
4443,58,0,444,6,0,0,0,0,0,0,4,7,17,45,319,1490
4444,27,0,600,17,0,0,0,0,0,0,4,7,17,87,322,439
4445,33,0,111,27,0,1,0,0,0,0,4,7,18,70,387,4943
4446,32,0,651,0,0,0,0,0,0,0,4,7,18,183,583,1208
4447,35,0,111,1,0,2,0,0,0,0,4,7,18,96,397,6942
4448,39,0,600,1,0,0,0,0,0,0,4,7,19,156,441,489
4449,9,0,700,1,0,0,0,0,0,0,4,7,20,237,558,705
4450,46,0,445,9,0,0,0,0,0,0,4,7,20,98,409,733
4451,40,0,251,1,0,0,0,0,0,0,4,7,20,159,419,1738
4452,56,0,700,7,0,0,0,0,0,0,4,7,20,221,664,838
4453,55,0,440,0,0,0,0,0,0,0,4,7,21,78,394,1520
4454,33,0,651,9,0,0,0,0,0,0,4,7,21,160,514,1884
4455,44,0,745,1,0,0,0,0,0,0,4,7,21,118,317,2590
4456,34,0,111,1,0,1,0,0,0,0,4,7,21,160,403,5331
4457,32,0,745,0,0,0,0,0,0,0,4,7,22,0,445,920
4458,35,0,111,9,0,0,0,0,0,0,4,7,22,107,529,3530
4459,27,0,130,6,0,0,0,0,0,0,4,7,22,80,320,1325
4460,42,0,600,1,0,0,0,0,0,0,4,7,23,149,579,1046
4461,17,0,745,0,0,0,0,0,0,0,4,7,23,150,488,1150
4462,0,0,600,25,0,0,0,0,0,0,4,8,0,114,452,823
4463,60,0,111,17,0,3,0,0,0,0,4,8,1,77,414,3485
4464,27,0,551,32,0,0,0,0,0,0,4,8,2,28,380,1134
4465,57,0,111,1,0,1,0,0,0,0,4,8,4,88,382,3530
4466,55,0,600,1,0,0,0,0,0,0,4,8,5,169,372,386
4467,51,0,745,74,0,0,0,0,0,0,4,8,6,78,431,543
4468,9,0,745,78,0,0,0,0,0,0,4,8,6,95,0,272
4469,59,0,444,1,0,0,0,0,0,0,4,8,8,143,612,841
4470,34,0,600,1,0,0,0,0,0,0,4,8,8,149,364,536
4471,55,0,130,35,0,0,0,0,0,0,4,8,8,131,477,1491
4472,40,0,745,1,0,0,0,0,0,0,4,8,8,106,498,502
4473,51,0,130,1,0,0,0,0,0,0,4,8,9,146,605,1493
4474,60,0,551,37,0,0,0,0,0,0,4,8,10,230,287,1198
4475,40,0,130,14,0,0,0,0,0,0,4,8,10,148,366,1037
4476,57,0,111,17,0,3,0,0,0,0,4,8,10,113,562,2480
4477,42,0,130,6,0,0,0,0,0,0,4,8,10,115,497,2213
4478,53,0,130,7,0,0,0,0,0,0,4,8,10,157,501,1816
4479,53,0,745,1,0,0,0,0,0,0,4,8,10,242,679,684
4480,53,0,700,6,0,0,0,0,0,0,4,8,11,156,369,602
4481,59,0,111,1,3,1,0,0,0,0,4,8,11,96,327,1643
4482,58,0,111,37,0,2,0,0,0,0,4,8,11,102,167,4495
4483,55,0,740,1,0,0,0,0,0,0,4,8,11,88,617,779
4484,57,0,600,39,0,0,0,0,0,0,4,8,12,260,630,865
4485,35,0,600,0,0,0,0,0,0,0,4,8,12,70,322,420
4486,35,0,600,0,0,0,0,0,0,0,4,8,13,152,421,529
4487,1,0,700,0,0,0,0,0,0,0,4,8,13,114,290,379
4488,1,0,151,7,0,0,0,0,0,0,4,8,14,30,376,1651
4489,58,0,445,1,0,0,0,0,0,0,4,8,15,106,432,888
4490,39,0,111,1,0,4,0,0,0,0,4,8,15,124,389,6030
4491,58,0,745,1,0,0,0,0,0,0,4,8,16,140,445,491
4492,50,0,900,6,0,0,0,0,0,0,4,8,16,38,308,541
4493,51,0,111,0,0,0,0,0,0,0,4,8,17,86,365,3506
4494,41,0,745,0,0,0,0,0,0,0,4,8,17,136,227,235
4495,55,0,160,1,0,0,0,0,0,0,4,8,17,78,258,746
4496,52,0,700,0,0,0,0,0,0,0,4,8,17,134,573,576
4497,39,0,111,1,0,2,0,0,0,0,4,8,17,126,586,3716
4498,52,0,151,46,0,0,0,0,0,0,4,8,18,124,462,639
4499,30,0,411,6,0,0,0,0,0,0,4,8,18,184,557,1498
4500,17,0,735,0,0,0,0,0,0,0,4,8,18,97,459,1239
4501,40,0,600,0,0,0,0,0,0,0,4,8,18,174,513,766
4502,52,0,745,1,0,0,0,0,0,0,4,8,19,169,361,1478
4503,33,0,111,1,0,10,0,0,0,0,4,8,19,103,401,6251
4504,34,0,600,1,3,0,0,0,0,0,4,8,20,72,298,427
4505,17,0,745,36,0,0,0,0,0,0,4,8,21,143,725,840
4506,41,0,745,0,0,0,0,0,0,0,4,8,21,877,1108,1653
4507,17,0,443,12,0,0,0,0,0,0,4,8,21,189,513,1017
4508,59,0,600,1,0,0,0,0,0,0,4,8,21,99,765,778
4509,56,0,118,27,3,0,0,0,0,0,4,8,22,110,463,1022
4510,32,0,118,1,1,0,0,0,0,0,4,9,0,138,485,1082
4511,9,0,651,1,0,0,0,0,0,0,4,9,1,141,551,1241
4512,34,1,111,1,0,4,0,0,0,0,4,9,1,0,355,10135
4513,34,1,111,1,0,2,0,0,0,0,4,9,1,115,355,10135
4514,34,0,111,1,0,4,0,0,0,0,4,9,1,156,405,10159
4515,9,0,651,55,2,0,0,0,0,0,4,9,1,209,438,4062
4516,50,0,151,7,0,0,0,0,0,0,4,9,2,211,509,631
4517,32,0,424,1,0,0,0,0,0,0,4,9,3,148,674,1746
4518,51,0,551,6,0,0,0,0,0,0,4,9,3,77,717,1383
4519,58,0,700,86,0,0,0,0,0,0,4,9,3,195,464,660
4520,56,0,111,1,0,0,0,0,0,0,4,9,4,86,465,3816
4521,58,0,111,37,0,1,0,0,0,0,4,9,4,209,438,1267
4522,60,0,700,6,0,0,0,0,0,0,4,9,4,72,326,476
4523,57,0,600,1,0,0,0,0,0,0,4,9,5,68,664,1217
4524,32,0,111,1,0,1,0,0,0,0,4,9,5,92,357,5035
4525,41,0,445,7,0,0,0,0,0,0,4,9,6,50,466,844
4526,59,0,445,1,0,0,0,0,0,0,4,9,6,115,528,1034
4527,42,0,111,1,0,1,0,0,0,0,4,9,6,185,575,1070
4528,41,0,745,19,0,0,0,0,0,0,4,9,6,77,474,1094
4529,59,0,445,9,0,0,0,0,0,0,4,9,6,161,757,799
4530,60,0,111,1,0,3,0,0,0,0,4,9,6,68,245,3100
4531,55,0,600,1,0,0,0,0,0,0,4,9,6,89,521,733
4532,30,0,445,1,0,0,0,0,0,0,4,9,7,135,620,737
4533,59,0,141,9,0,0,0,0,0,0,4,9,7,153,499,718
4534,34,0,111,1,0,4,0,0,0,0,4,9,7,298,516,4142
4535,41,0,463,25,0,0,0,0,0,0,4,9,8,70,276,1856
4536,57,0,745,1,0,0,0,0,0,0,4,9,8,201,639,653
4537,54,0,411,7,0,0,0,0,0,0,4,9,8,167,570,969
4538,30,0,745,45,0,0,0,0,0,0,4,9,9,88,370,449
4539,40,0,444,7,0,0,0,0,0,0,4,9,9,117,375,1033
4540,50,0,111,1,0,4,0,0,0,0,4,9,9,99,325,4078
4541,56,0,700,15,0,0,0,0,0,0,4,9,9,108,178,184
4542,50,0,651,39,0,0,0,0,0,0,4,9,9,105,344,623
4543,58,0,600,7,0,0,0,0,0,0,4,9,10,56,704,711
4544,60,0,740,6,0,0,0,0,0,0,4,9,11,13,376,910
4545,58,0,745,1,0,0,0,0,0,0,4,9,11,136,453,487
4546,39,0,745,0,0,0,0,0,0,0,4,9,11,69,208,426
4547,27,0,160,7,0,0,0,0,0,0,4,9,12,272,489,1094
4548,50,0,445,5,0,0,0,0,0,0,4,9,12,85,289,1263
4549,44,0,745,47,0,0,0,0,0,0,4,9,12,47,266,620
4550,57,0,424,1,0,0,0,0,0,0,4,9,12,87,453,3138
4551,52,0,745,78,0,0,0,0,0,0,4,9,13,82,387,413
4552,41,0,652,51,0,0,0,0,0,0,4,9,13,252,0,671
4553,27,0,745,67,0,0,0,0,0,0,4,9,13,540,784,913
4554,17,0,600,25,0,0,0,0,0,0,4,9,14,101,506,619
4555,53,0,700,10,0,0,0,0,0,0,4,9,14,60,364,599
4556,39,0,600,16,0,0,0,0,0,0,4,9,14,112,393,705
4557,59,0,445,1,0,0,0,0,0,0,4,9,14,68,577,741
4558,60,0,651,75,0,0,0,0,0,0,4,9,15,351,639,972
4559,39,0,652,39,0,0,0,0,0,0,4,9,15,139,323,871
4560,40,0,600,0,0,0,0,0,0,0,4,9,15,129,459,1336
4561,55,0,444,6,0,0,0,0,0,0,4,9,15,109,385,3230
4562,52,0,600,1,0,0,0,0,0,0,4,9,15,90,481,1245
4563,56,0,130,3,0,0,0,0,0,0,4,9,15,44,419,1228
4564,59,0,445,1,0,0,0,0,0,0,4,9,15,95,409,1376
4565,27,0,745,17,0,0,0,0,0,0,4,9,16,116,320,485
4566,56,0,445,6,0,0,0,0,0,0,4,9,16,93,322,2430
4567,57,0,600,1,0,0,0,0,0,0,4,9,16,31,374,455
4568,32,0,745,16,0,0,0,0,0,0,4,9,16,58,453,525
4569,40,0,130,1,0,0,0,0,0,0,4,9,17,96,757,1358
4570,51,0,251,1,0,0,0,0,0,0,4,9,17,168,487,1664
4571,60,0,600,13,0,0,0,0,0,0,4,9,17,175,733,1136
4572,53,0,745,1,0,0,0,0,0,0,4,9,17,186,785,905
4573,53,0,700,1,0,0,0,0,0,0,4,9,18,74,441,487
4574,46,0,700,1,0,0,0,0,0,0,4,9,18,114,157,896
4575,59,0,700,1,0,0,0,0,0,0,4,9,18,142,583,588
4576,48,0,130,3,0,0,0,0,0,0,4,9,18,51,241,1155
4577,1,0,600,66,0,0,0,0,0,0,4,9,18,209,545,1258
4578,42,0,445,13,0,0,0,0,0,0,4,9,18,105,563,4415
4579,59,0,445,1,0,0,0,0,0,0,4,9,18,105,326,726
4580,56,0,444,1,0,0,0,0,0,0,4,9,19,121,592,1727
4581,51,0,445,6,0,0,0,0,0,0,4,9,19,74,459,1137
4582,1,0,600,0,0,0,0,0,0,0,4,9,19,73,317,540
4583,46,0,551,16,0,0,0,0,0,0,4,9,19,69,216,886
4584,33,0,735,39,0,0,0,0,0,0,4,9,19,110,295,688
4585,51,0,445,6,0,0,0,0,0,0,4,9,19,59,337,1516
4586,51,0,745,1,0,0,0,0,0,0,4,9,19,81,702,705
4587,9,0,700,17,0,0,0,0,0,0,4,9,19,213,521,566
4588,59,0,745,1,0,0,0,0,0,0,4,9,20,118,494,936
4589,34,0,445,1,0,0,0,0,0,0,4,9,20,164,321,435
4590,55,0,700,1,0,0,0,0,0,0,4,9,20,98,505,735
4591,53,0,445,9,0,0,0,0,0,0,4,9,20,103,338,944
4592,56,0,445,6,0,0,0,0,0,0,4,9,20,80,331,1531
4593,55,0,445,1,0,0,0,0,0,0,4,9,20,77,267,419
4594,30,0,745,10,0,0,0,0,0,0,4,9,20,102,432,681
4595,48,0,160,9,0,0,0,0,0,0,4,9,20,276,826,1095
4596,27,0,444,13,0,0,0,0,0,0,4,9,20,160,1257,1652
4597,58,0,444,5,0,0,0,0,0,0,4,9,20,74,316,723
4598,32,0,445,0,0,0,0,0,0,0,4,9,20,191,527,1192
4599,51,0,445,6,0,0,0,0,0,0,4,9,20,115,719,1454
4600,42,0,445,6,0,0,0,0,0,0,4,9,21,75,343,1264
4601,41,0,745,0,0,0,0,0,0,0,4,9,21,425,693,1114
4602,39,0,700,30,0,0,0,0,0,0,4,9,21,61,265,406
4603,42,0,111,1,0,1,0,0,0,0,4,9,21,115,344,4091
4604,55,0,700,6,0,0,0,0,0,0,4,9,22,57,369,488
4605,17,0,461,0,0,0,0,0,0,0,4,9,23,78,310,3489
4606,1,0,445,7,0,0,0,0,0,0,4,10,2,111,551,1662
4607,9,0,600,25,0,0,0,0,0,0,4,10,2,328,811,878
4608,9,0,445,7,0,0,0,0,0,0,4,10,2,223,643,1324
4609,56,0,111,1,0,2,0,0,0,0,4,10,2,145,562,9093
4610,55,0,444,1,0,0,0,0,0,0,4,10,2,272,801,992
4611,51,0,411,6,0,0,0,0,0,0,4,10,2,95,647,1205
4612,60,0,463,6,0,0,0,0,0,0,4,10,3,60,350,677
4613,59,0,130,1,0,0,0,0,0,0,4,10,4,98,529,1288
4614,9,0,444,6,0,0,0,0,0,0,4,10,4,139,497,5028
4615,30,0,600,1,0,0,0,0,0,0,4,10,5,117,556,1203
4616,56,0,111,9,0,0,0,0,0,0,4,10,5,181,752,4267
4617,35,0,745,0,0,0,0,0,0,0,4,10,6,102,526,1275
4618,55,0,150,6,0,0,0,0,0,0,4,10,6,74,573,1190
4619,57,0,444,6,0,0,0,0,0,0,4,10,6,101,434,6954
4620,58,0,445,1,0,0,0,0,0,0,4,10,6,211,627,972
4621,56,0,445,7,0,0,0,0,0,0,4,10,6,86,411,3052
4622,41,0,130,25,0,0,0,0,0,0,4,10,7,133,524,1016
4623,30,0,745,39,0,0,0,0,0,0,4,10,7,142,651,716
4624,56,0,444,7,0,0,0,0,0,0,4,10,8,135,175,183
4625,32,0,444,3,0,0,0,0,0,0,4,10,8,92,613,692
4626,54,0,411,1,0,0,0,0,0,0,4,10,8,167,575,896
4627,39,0,445,6,0,0,0,0,0,0,4,10,9,89,404,723
4628,30,0,743,68,0,0,0,0,0,0,4,10,9,61,355,404
4629,59,0,711,12,0,0,0,0,0,0,4,10,9,9,387,617
4630,27,0,745,0,0,0,0,0,0,0,4,10,11,138,564,618
4631,55,0,700,25,0,0,0,0,0,0,4,10,11,105,636,734
4632,44,0,411,6,0,0,0,0,0,0,4,10,11,90,331,612
4633,52,0,118,1,3,0,0,0,0,0,4,10,11,14,257,417
4634,17,0,745,57,0,0,0,0,0,0,4,10,12,252,794,838
4635,1,0,411,62,0,0,0,0,0,0,4,10,12,70,585,741
4636,56,0,440,1,0,0,0,0,0,0,4,10,12,94,388,1437
4637,35,0,621,48,0,0,0,0,0,0,4,10,13,129,503,564
4638,9,0,444,7,0,0,0,0,0,0,4,10,14,84,409,2198
4639,54,0,600,6,0,0,0,0,0,0,4,10,14,72,438,589
4640,30,0,410,1,0,0,0,0,0,0,4,10,15,276,547,995
4641,56,0,130,9,0,0,0,0,0,0,4,10,16,90,382,1893
4642,54,0,445,6,0,0,0,0,0,0,4,10,16,77,456,543
4643,55,0,745,1,0,0,0,0,0,0,4,10,16,95,761,860
4644,41,0,130,6,0,0,0,0,0,0,4,10,16,49,273,914
4645,39,0,444,6,0,0,0,0,0,0,4,10,17,79,407,1108
4646,9,0,411,7,0,0,0,0,0,0,4,10,17,18,419,3390
4647,41,0,700,0,0,0,0,0,0,0,4,10,17,80,274,946
4648,58,0,700,1,0,0,0,0,0,0,4,10,17,60,356,859
4649,41,1,131,35,0,0,0,0,0,0,4,10,19,106,393,3083
4650,58,0,111,1,0,1,0,0,0,0,4,10,19,78,289,2557
4651,58,0,700,6,0,0,0,0,0,0,4,10,19,235,677,921
4652,60,0,652,31,0,0,0,0,0,0,4,10,19,78,366,648
